,제목,관람객 평점,장르,국가,상영시간,개봉일,감독,등급,흥행 정보
0,한산: 용의 출현,관람객 평점 8.50점,"액션, 드라마",한국,129분,2022 .07.27 개봉,김한민,12세 관람가,"4,157,701명(08.06 기준)"
1,비상선언,관람객 평점 6.72점,드라마,한국,140분,2022 .08.03 개봉,한재림,12세 관람가,"1,119,560명(08.06 기준)"
2,외계+인 1부,관람객 평점 6.88점,"액션, 판타지, SF",한국,142분,2022 .07.20 개봉,최동훈,12세 관람가,"1,485,252명(08.06 기준)"
3,탑건: 매버릭,관람객 평점 9.59점,액션,미국,130분,2022 .06.22 개봉,조셉 코신스키,12세 관람가,"7,380,194명(08.06 기준)"
4,헤어질 결심,관람객 평점 8.92점,"멜로/로맨스, 드라마, 서스펜스",한국,138분,2022 .06.29 개봉,박찬욱,15세 관람가,"1,759,850명(08.06 기준)"
5,헌트,,"액션, 드라마",한국,125분,2022 .08.10 개봉,이정재,15세 관람가,
6,미니언즈2,관람객 평점 7.86점,"애니메이션, 모험, 코미디",미국,87분,2022 .07.20 개봉,카일 발다,전체 관람가,"1,906,021명(08.06 기준)"
7,토르: 러브 앤 썬더,관람객 평점 6.73점,"액션, 모험, 판타지",미국,119분,2022 .07.06 개봉,타이카 와이티티,12세 관람가,"2,714,198명(08.06 기준)"
8,카터,,"액션, 모험",한국,,,정병길,,
9,더 킬러: 죽어도 되는 아이,관람객 평점 8.64점,액션,한국,95분,2022 .07.13 개봉,최재훈,청소년 관람불가,
